Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	25	5.87817	6.02094	8.67023e-10	1.08118e-06	HHEX(3.56277); HNF1A(3.27547); HNF1B(3.20346); SLC2A2(1.74435); MNX1(1.5185); GCK(1.41081); ONECUT1(1.40194); PDX1(1.22548); PAX4(1.16839); IAPP(1.15471); HNF4A(1.05739); NEUROG3(0.987384); INS(0.977626); FOXA3(0.9037); NR5A2(0.667852); NKX2-2(-1.12031); PKLR(-1.18207); MAFA(-1.18207); HES1(-1.24043); BHLHA15(-1.28019); NKX6-1(-1.3148); PAX6(-1.36921); NEUROD1(-1.39663); FOXA2(-1.3987); HNF4G(-1.6123); 
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	29	22	3.57161	4.8595	5.88398e-07	0.000366866	NOTCH4(2.50353); E2F3(2.45492); NOTCH2(2.04808); TP53(1.84575); TNRC6C(1.46026); KAT2A(1.13406); MAML1(1.1068); SNW1(1.07704); CCND1(1.05514); TFDP1(1.02287); KAT2B(0.673057); TNRC6B(0.273301); MAML3(0.120298); MAML2(0.00356578); E2F1(-1.12031); JUN(-1.24043); MOV10(-1.36403); CREBBP(-1.3987); NOTCH3(-1.40806); EP300(-1.41056); TNRC6A(-1.50738); RBPJ(-1.54124); 
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	30	30	2.91042	4.49532	3.47322e-06	0.0014437	HNF1A(3.27547); HNF1B(3.20346); SLC2A2(1.74435); GCK(1.41081); ONECUT1(1.40194); PDX1(1.22548); AKT2(1.19447); IAPP(1.15471); HNF4A(1.05739); NEUROG3(0.987384); INS(0.977626); FOXA3(0.9037); FOXO1(0.861968); AKT3(0.697771); NR5A2(0.667852); PTF1A(-1.12031); NKX2-2(-1.12031); PKLR(-1.18207); MAFA(-1.18207); AKT1(-1.22623); HES1(-1.24043); INSM1(-1.26745); NKX6-1(-1.3148); ONECUT3(-1.34313); PAX6(-1.36921); NEUROD1(-1.39663); FOXA2(-1.3987); RBPJ(-1.54124); HNF4G(-1.6123); FGF10(-1.6123); 
KEGG_TYPE_II_DIABETES_MELLITUS	47	45	3.71599	4.15556	1.62243e-05	0.00505793	KCNJ11(3.3128); ABCC8(2.82564); TNF(2.73922); ADIPOQ(2.29959); SLC2A2(1.74435); MTOR(1.54258); GCK(1.41081); PDX1(1.22548); CACNA1G(1.19835); SLC2A4(1.18848); CACNA1D(1.04555); PIK3R3(1.03799); PIK3CA(1.00295); INS(0.977626); PIK3CD(0.922132); SOCS2(0.791624); CACNA1B(0.663412); CACNA1C(0.484843); INSR(0.483902); CACNA1E(0.17997); MAPK10(0.0635777); MAPK3(-1.09373); SOCS3(-1.13887); PKLR(-1.18207); MAFA(-1.18207); PIK3R2(-1.22623); SOCS4(-1.30391); PRKCD(-1.39431); HK3(-1.3987); SOCS1(-1.40217); IKBKB(-1.40893); PIK3CB(-1.41301); PRKCZ(-1.44307); IRS2(-1.44972); IRS1(-1.45323); PIK3CG(-1.45684); MAPK9(-1.51681); PIK3R5(-1.53627); MAPK1(-1.57666); MAPK8(-1.60217); PIK3R1(-1.6468); HK2(-1.68313); HK1(-1.88585); CACNA1A(-2.08085); PRKCE(-2.30333); 
BIOCARTA_VIP_PATHWAY	29	25	2.50588	4.12927	1.81956e-05	0.00505793	CHUK(3.17987); PLCG1(3.15853); NFKB1(1.89483); PRKACG(1.68229); PRKACB(1.64951); EGR2(1.2416); PRKAR1A(1.15443); RELA(0.980934); MAP3K1(0.915015); PPP3CA(0.741545); NFATC1(0.665586); GNAQ(0.186716); NFATC2(0.176713); CALM3(-1.16173); PPP3CB(-1.19667); PRKAR2A(-1.33446); NFKBIA(-1.33446); MYC(-1.38563); EGR3(-1.39172); CALM1(-1.40711); CALM2(-1.41056); VIP(-1.41727); PPP3CC(-1.49368); VIPR2(-1.6123); PRKAR2B(-1.64199); 
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	20	20	2.08325	4.10865	1.98988e-05	0.00505793	HNF1A(3.27547); SLC2A2(1.74435); GCK(1.41081); PDX1(1.22548); AKT2(1.19447); IAPP(1.15471); HNF4A(1.05739); INS(0.977626); FOXA3(0.9037); FOXO1(0.861968); AKT3(0.697771); NKX2-2(-1.12031); PKLR(-1.18207); MAFA(-1.18207); AKT1(-1.22623); NKX6-1(-1.3148); PAX6(-1.36921); NEUROD1(-1.39663); FOXA2(-1.3987); HNF4G(-1.6123); 
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11	10	3.08786	3.97989	3.44733e-05	0.00547857	PDHA2(3.1915); VARS(1.85385); LARS2(1.62903); IARS(1.1932); PDHB(0.90269); BCAT1(0.228957); VARS2(0.190712); BCAT2(-1.28019); IARS2(-1.33446); LARS(-1.51207); 
KEGG_ALLOGRAFT_REJECTION	38	35	5.10942	3.93853	4.09907e-05	0.00547857	HLA-DQA1(3.33243); TNF(2.73922); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-B(2.50437); HLA-C(2.03061); IL2(1.66625); HLA-DQA2(1.29772); HLA-E(1.29493); HLA-DQB1(1.08885); IL5(0.985425); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); HLA-DOB(0.0348384); FASLG(-1.36921); GZMB(-1.39663); PRF1(-1.3987); IL4(-1.40806); IL10(-1.41056); CD28(-1.41393); IFNG(-1.42863); HLA-DRB3(-1.43125); IL12B(-1.434); CD40(-1.434); CD86(-1.44972); IL12A(-1.48925); CD80(-1.56137); HLA-DRB4(-1.60217); FAS(-1.62233); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
KEGG_GRAFT_VERSUS_HOST_DISEASE	42	38	4.43886	3.88439	5.12942e-05	0.00547857	HLA-DQA1(3.33243); TNF(2.73922); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-B(2.50437); HLA-C(2.03061); IL2(1.66625); HLA-DQA2(1.29772); HLA-E(1.29493); HLA-DQB1(1.08885); IL6(0.619197); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); HLA-DOB(0.0348384); KIR2DL1(-0.457193); KIR2DL3(-0.457193); KIR3DL1(-1.15185); KIR3DL2(-1.22623); KLRC1(-1.24043); FASLG(-1.36921); KLRD1(-1.37819); IL1B(-1.38563); GZMB(-1.39663); PRF1(-1.3987); CD28(-1.41393); IL1A(-1.41493); IFNG(-1.42863); HLA-DRB3(-1.43125); CD86(-1.44972); CD80(-1.56137); HLA-DRB4(-1.60217); FAS(-1.62233); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
BIOCARTA_CELLCYCLE_PATHWAY	23	23	2.61062	3.99463	3.23977e-05	0.00547857	CDKN2B(3.2927); CDKN2A(3.29108); CCND2(2.40194); CDK6(2.03404); CDKN1A(1.73696); CDKN2C(1.65701); CDKN1B(1.13406); CCND1(1.05514); TFDP1(1.02287); CDK1(0.678244); E2F1(-1.12031); CDK4(-1.13887); CDC25A(-1.26745); RBL1(-1.30391); CDKN2D(-1.30391); CDK2(-1.3148); CCNE1(-1.3148); CCNB1(-1.35796); CCNA1(-1.35796); CCNH(-1.36921); CDK7(-1.38563); CCND3(-1.55631); RB1(-1.56137); 
