Term Id	Term	Category	Hypergeometirc p-value	Literature score	# of genes	nominal p-value	FDR q-value	Normalized enrichment score	Direction	Gene list
AMIT_SERUM_RESPONSE_40_MCF10A	AMIT_SERUM_RESPONSE_40_MCF10A	msigdb_c2	2.9019659060700905E-12	3.140802081758815	31	0.0	0.0	2.32932	UP	FOS(1.06944) FOSB(0.960082) EGR1(0.901944) NR4A2(0.702118) ATF3(0.579587) NR4A1(0.47512) RGS2(0.44173) DUSP1(0.371675) DCN(0.300355) JUN(0.271789) SLC16A4(0.250151) ZFP36(0.246335) CXCL2(0.234246) CLIC4(0.213461) FPR1(0.116397) TP63(0.0889512) GM2A(0.0867931) MCL1(0.0546196) GLUL(0.0496537) KLF6(0.0470729) WEE1(0.0206556) CXCL3(0.0187376) TCTN2(0.0186146) PVR(0.0100646) IL1A(-0.0249175) LGMN(-0.0436177) CITED2(-0.0459417) THBS1(-0.0576908) TOMM22(-0.0632771) ADM(-0.0704946) NAMPT(-0.179243)
ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE	ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE	msigdb_c2	5.178949735957226E-13	2.1251720933135063	63	0.0	0.0	2.58636	UP	ASPN(0.771216) GREM1(0.769544) MFAP5(0.586278) THBS2(0.571417) TIMP3(0.554768) SULF1(0.470664) EDNRA(0.427953) ACTA2(0.410641) SPOCK1(0.396254) TMEM158(0.390705) FN1(0.385601) AEBP1(0.334559) COL5A2(0.309289) GLT8D2(0.303029) DCN(0.300355) RAB31(0.297568) PRRX1(0.290822) FBN1(0.28396) LGALS1(0.282647) COL6A3(0.278151) CRISPLD2(0.276239) OLFML2B(0.276079) SERPINF1(0.272874) COL1A1(0.260547) PCOLCE(0.256381) NUAK1(0.254399) COPZ2(0.24881) COL6A2(0.247168) THY1(0.240188) COL1A2(0.236447) SPARC(0.235391) NTM(0.215497) C1QTNF3(0.211556) CTSK(0.206658) LUM(0.197928) PDGFRB(0.190953) BGN(0.18857) FAP(0.169196) SFRP4(0.153547) CDH11(0.145579) ITGBL1(0.143602) COL5A1(0.129693) TNFAIP6(0.128868) MMP2(0.127428) INHBA(0.107019) COL3A1(0.0964646) LRRC15(0.0842747) MXRA5(0.0790114) LOXL2(0.0759493) PLAU(0.07523) SNAI2(0.0733967) COMP(0.0642776) COL10A1(0.0533424) RCN3(0.0386228) COL11A1(0.0297128) VCAN(0.0294784) NOX4(0.0283221) MMP11(0.0240484) ADAM12(0.0184449) NID2(0.0105005) EPYC(-0.0218798) LOX(-0.0983309) POSTN(-0.213956)
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	msigdb_c2	1.3994361181148492E-10	2.454536659871967	41	0.0	0.0	2.38152	UP	FABP4(0.713683) ADIPOQ(0.659805) TUBB6(0.537526) SFRP1(0.520363) DPT(0.452699) CAV1(0.415931) TNXB(0.336213) MFAP4(0.335653) ELN(0.307395) OMD(0.289942) SPARCL1(0.2778) EMCN(0.255998) PECAM1(0.235331) IGF1(0.216195) VWF(0.211057) RBP4(0.200855) TEK(0.189399) ADCY2(0.185298) PIK3CD(0.183999) NGFR(0.181809) ERG(0.17381) CD34(0.167206) TNFRSF1B(0.142037) TGFBR2(0.125895) ABCA6(0.0952552) ADAM11(0.0737802) POU2F2(0.055304) TXNIP(0.0498736) MMP3(0.0453613) MARCH7(0.022664) RPL31(0.0163192) CCDC82(0.0158312) FOXN3(0.0106336) PDK4(0.00751815) RPL34(0.00638642) TF(0.00328035) CIDEC(-0.0320622) ALDH1A1(-0.0464024) F2R(-0.0611364) ALDH1L1(-0.139436) GDPD2(-0.1505)
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	msigdb_c2	2.1866276460110865E-6	1.0328991991993404	133	0.0	0.0	2.29989	UP	MYL9(0.77872) KCNMB1(0.75829) TPM2(0.704727) ACTG2(0.667892) TAGLN(0.63759) AOC3(0.582956) FERMT2(0.562324) TIMP3(0.554768) TGFB1I1(0.506331) DDR2(0.480794) MYH10(0.478404) ZCCHC24(0.472484) PTRF(0.466739) DLC1(0.446006) EPHA3(0.438568) EDNRA(0.427953) CAV1(0.415931) ACTA2(0.410641) THBS4(0.405056) FLNA(0.4007) NAV3(0.397972) SPOCK1(0.396254) FHL1(0.385504) KANK2(0.372346) CALD1(0.366616) MXRA7(0.349649) FLNC(0.342075) SPEG(0.335278) OBSL1(0.32959) FSTL1(0.319463) SMTN(0.3164) CADM1(0.311371) PTPRZ1(0.302346) LIMS2(0.288658) MYLK(0.263963) RGS5(0.255749) SLIT3(0.25238) COPZ2(0.24881) CD81(0.235025) MXRA8(0.234162) NPR3(0.228826) SNRPN(0.227012) ACTN1(0.22348) LAMA2(0.218494) TUBG2(0.209732) AQP1(0.196311) EXTL2(0.193905) RGS4(0.191917) BGN(0.18857) TTC28(0.184161) FAP(0.169196) CX3CR1(0.160417) PDE5A(0.155408) PARVA(0.150565) ZNF385D(0.148545) NPR2(0.138938) SAV1(0.137791) CTNND2(0.133622) GPC1(0.130717) HSPG2(0.129339) CNN2(0.11588) ACVR1(0.108958) NME7(0.107022) PTPN14(0.103745) C9orf3(0.103003) CNIH3(0.101981) SLC4A3(0.0982093) RABGAP1(0.0970941) MPRIP(0.0945312) GSTA1(0.0914515) SH3PXD2A(0.0790927) AHNAK(0.0788193) PLSCR3(0.0777598) DAAM1(0.0776089) ANO1(0.0775554) SNAI2(0.0733967) MDFI(0.0714932) STARD13(0.0682536) CNPY4(0.058816) NCOA1(0.0525256) APBA1(0.0453178) ERBB4(0.0384216) CCDC15(0.0368399) ADAMTS12(0.031748) LIN28A(0.0254072) ADAM12(0.0184449) SRPX2(0.0180967) COPS8(0.0179941) MTSS1(0.013562) EFR3B(0.0132496) TTC3(0.00408575) CEP41(0.00151958) MAPK7(-8.6539E-4) LGALSL(-0.00144448) COL8A1(-0.00314572) MYH9(-0.0125493) KIDINS220(-0.0275379) RTN4(-0.0299711) C11orf80(-0.0359593) FKBP9(-0.0366664) ZBTB43(-0.0387834) ITGB5(-0.0389324) PICALM(-0.0399252) EFNA3(-0.04995) PTPN21(-0.0505915) MBOAT2(-0.0511088) RUNX1(-0.053867) ACSL3(-0.0660348) KLHDC10(-0.0882366) TMEM134(-0.0922146) SPRED2(-0.0993932) FBXW2(-0.0999866) TLN2(-0.101051) RCAN1(-0.103816) VSNL1(-0.108475) NDUFV1(-0.115186) ENDOD1(-0.120521) CAPN2(-0.128302) CHMP3(-0.131945) PDGFD(-0.135501) EDN2(-0.143926) AGPAT2(-0.157328) DDAH1(-0.173202) RIT1(-0.174248) SEMA5A(-0.185779) SORT1(-0.234419) HIST1H2AC(-0.247332) CAPN5(-0.254675) ENPP1(-0.261962) PERP(-0.275043) HIST1H2AE(-0.284532) HIST1H4H(-0.312675) C1orf116(-0.384422)
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	msigdb_c2	1.8235313868833605E-9	2.385062053283694	30	0.0	0.0	2.27716	UP	FOSB(0.960082) OGN(0.942987) FABP4(0.713683) C7(0.573891) ADH1B(0.556402) APOD(0.460216) DPT(0.452699) TPPP3(0.392277) CFD(0.387238) ITIH5(0.373789) C3(0.337644) OMD(0.289942) SPARCL1(0.2778) MYOC(0.276189) IGF1(0.216195) CHL1(0.208835) WISP2(0.202069) PDGFRL(0.180308) PPL(0.179349) CPVL(0.163327) SOCS3(0.144186) NAALAD2(0.128458) SERPINA5(0.11948) NTRK2(0.0940849) WNT11(0.0879398) APOE(0.0858413) CD14(0.0634569) PTGER4(0.0129827) CXCL14(-0.0367694) TMEM176B(-0.0800081)
BROWNE_HCMV_INFECTION_2HR_UP	BROWNE_HCMV_INFECTION_2HR_UP	msigdb_c2	1.8865128172651676E-4	1.652357419174839	38	0.0	0.0	2.26346	UP	FOS(1.06944) EGR1(0.901944) CHRDL1(0.876922) ATP1A2(0.764746) NR4A2(0.702118) ATF3(0.579587) ADH1B(0.556402) NR4A1(0.47512) ECM2(0.444142) RGS2(0.44173) COL21A1(0.40574) CFD(0.387238) NR4A3(0.379922) MFAP4(0.335653) PTGDS(0.325342) SNED1(0.31651) SLC29A1(0.219214) ICAM1(0.171279) RARRES2(0.144203) N4BP2L1(0.0888761) APOE(0.0858413) NFKBIA(0.0853772) MAP3K8(0.084552) FYB(0.0836174) DAZL(0.0455834) ELANE(0.0447477) SRCAP(0.0230385) CXCL3(0.0187376) ADCY1(0.00475794) KIAA0368(-0.032398) SFPQ(-0.0442268) DHRS3(-0.0509589) IRF1(-0.063885) ERP44(-0.0641818) GCH1(-0.145686) ADH1A(-0.187148) VWA5A(-0.191128) ADH1C(-0.405197)
BURTON_ADIPOGENESIS_PEAK_AT_2HR	BURTON_ADIPOGENESIS_PEAK_AT_2HR	msigdb_c2	4.37040375379462E-17	3.113567258548876	48	0.0	0.0	2.23043	UP	CYR61(1.32137) FOS(1.06944) FOSB(0.960082) PTGS2(0.817024) CTGF(0.776473) NR4A2(0.702118) NR4A1(0.47512) RHOB(0.453493) RGS2(0.44173) DUSP1(0.371675) PPP1R15A(0.341585) JUNB(0.24982) ZFP36(0.246335) BTG2(0.224134) CDR2L(0.180777) IER3(0.166506) IL6(0.163519) DNAJB4(0.156961) CEBPD(0.156574) CXCL1(0.143846) TNFRSF1B(0.142037) TNFAIP6(0.128868) MYC(0.127473) SERPINE1(0.116828) PIM1(0.0932191) PHLDA1(0.0844371) EMD(0.077012) BAG3(0.0727745) FOXC2(0.0608525) WEE1(0.0206556) MAP2K3(0.00797148) CDR2(0.00234935) LONP1(-7.94933E-4) ID2(-0.00619818) ETS2(-0.0345906) GADD45G(-0.0425546) VEGFA(-0.0476264) THBS1(-0.0576908) DNAJB6(-0.0589841) ID1(-0.0591779) DNAJB1(-0.0671871) ADM(-0.0704946) ID3(-0.0814939) SEMA3C(-0.0916496) KLF4(-0.09521) CAPN1(-0.105087) SLC20A1(-0.184725) HK2(-0.223882)
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	msigdb_c2	1.4218719950279129E-16	1.8452780603087715	135	0.0	0.0	2.25422	UP	ADAMTS1(1.07497) EGR1(0.901944) MYL9(0.77872) ASPN(0.771216) RGS1(0.767344) SRPX(0.675064) VNN1(0.657213) GEM(0.614567) C7(0.573891) THBS2(0.571417) AMIGO2(0.543094) SULF1(0.470664) EGR2(0.4546) CCL21(0.451342) GPR183(0.436009) LOXL1(0.412164) CXCL12(0.392065) EFEMP1(0.382684) PMP22(0.379912) CCL19(0.368362) GPNMB(0.358492) ISLR(0.356134) MOXD1(0.348477) PLTP(0.347204) AEBP1(0.334559) PTGDS(0.325342) SEPT6(0.308072) RCAN2(0.300122) MMP9(0.299782) RFTN1(0.293918) SERPINB9(0.287625) COL6A3(0.278151) COL1A1(0.260547) ACSL4(0.250226) BASP1(0.249046) CP(0.246849) EVI2A(0.2437) COL1A2(0.236447) CHST11(0.233132) MYOM1(0.232747) TPST1(0.2322) VNN2(0.226937) KCTD12(0.226763) TMEM45A(0.224292) MAD1L1(0.221424) POU2AF1(0.216524) RASGRP1(0.204431) TIMP1(0.202378) AIM2(0.201825) CD52(0.199248) TNFAIP8(0.198387) LUM(0.197928) CYTIP(0.191208) BGN(0.18857) CD2(0.17769) IL7R(0.176246) SERPINE2(0.170895) COLEC11(0.156021) SLC17A9(0.149405) SOCS3(0.144186) HOMER1(0.131815) COL5A1(0.129693) MMD(0.126345) CYFIP2(0.125934) DUSP5(0.123795) ATP2B2(0.12182) CCL20(0.120128) SERPINE1(0.116828) KLRB1(0.100683) DCPS(0.0991601) COL3A1(0.0964646) SPHK1(0.0946437) NAV2(0.0898863) ZNF83(0.0811041) MXRA5(0.0790114) TIMP2(0.0777492) INHBE(0.0742332) ACP5(0.0659276) GLDC(0.0633321) STAT4(0.0545825) GLS2(0.0470745) C9(0.0452661) HABP2(0.0434045) FURIN(0.0414104) MCC(0.0408924) SLC15A1(0.0390213) GPR88(0.0351497) VCAN(0.0294784) SLC7A2(0.0243777) HAL(0.0140853) CRP(0.00878382) MAP3K5(0.001819) UGCG(-0.00344857) RAB27B(-0.00539228) PRG4(-0.01708) NCALD(-0.0172105) S100P(-0.0254834) TNFSF4(-0.0325847) ETS2(-0.0345906) CYBA(-0.0524285) SLC2A9(-0.056186) PELI1(-0.0577224) RAB27A(-0.0658321) EPHA1(-0.0695068) SEL1L3(-0.072046) SEMA6A(-0.0748979) CAPG(-0.0824163) MGLL(-0.107949) ASRGL1(-0.11771) MUC13(-0.118022) LGALS3(-0.12103) BACE2(-0.132781) GCH1(-0.145686) PLBD1(-0.145831) CD24(-0.146673) SLPI(-0.154682) FGFR2(-0.157824) LSR(-0.15788) F3(-0.158464) BMP2(-0.165008) GOT1(-0.178014) SLC12A2(-0.180385) WWC1(-0.185887) LGALS4(-0.190212) MYO1E(-0.190761) FBP1(-0.193776) LXN(-0.194015) GALNT7(-0.203375) CDA(-0.216413) HPGD(-0.218532) CDH1(-0.224484) GATA6(-0.307831) XK(-0.343189) CNGA1(-0.346003) HSD17B2(-0.376833)
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	msigdb_c2	5.260650067144118E-6	1.0022837191711762	156	0.0	0.0	-2.76036	DOWN	EHF(-0.485832) OCLN(-0.475445) ITGB6(-0.434819) GRAMD1C(-0.393677) FOXA1(-0.392419) C1orf116(-0.384422) GALNT3(-0.352037) SMAGP(-0.351388) MYO1D(-0.350659) RAB25(-0.337391) TMEM30B(-0.320915) MFSD6(-0.319355) SLC35A3(-0.31038) S100A14(-0.307579) ERBB3(-0.305385) AP1M2(-0.303452) EXPH5(-0.296973) PRR15L(-0.292526) AGR2(-0.286481) PTK6(-0.28549) SLC1A1(-0.283038) CYP2J2(-0.278823) MPZL2(-0.273626) MAPK13(-0.272889) CLDN7(-0.267421) FGFBP1(-0.266241) VAV3(-0.26112) TMPRSS4(-0.257778) TMC5(-0.253727) OVOL2(-0.249957) ELMO3(-0.247509) SMPDL3B(-0.246385) CDS1(-0.239294) TJP2(-0.231842) OVOL1(-0.228499) RBM47(-0.227435) STAP2(-0.22562) CDH1(-0.224484) TSPAN1(-0.223348) IRF6(-0.221393) MYO6(-0.220616) SERPINB5(-0.218901) TBC1D8B(-0.216105) GRHL2(-0.212231) CLDN4(-0.212048) KRT19(-0.211407) FXYD3(-0.201056) TJP3(-0.201035) STK39(-0.195671) PRSS8(-0.194898) SPINT1(-0.188714) TTC22(-0.184659) LAD1(-0.183439) SH3YL1(-0.181063) HMGCL(-0.180784) LAMC2(-0.178433) GCNT2(-0.174916) ENPP4(-0.173861) EPPK1(-0.168423) LGALS9(-0.16792) AIM1(-0.164148) ZNF468(-0.163655) PRRG4(-0.16311) VAMP8(-0.162114) ST14(-0.160772) LSR(-0.15788) LIMA1(-0.156282) ESRP2(-0.147674) BSPRY(-0.146953) CNKSR1(-0.145741) MST1R(-0.143607) DDR1(-0.138978) RNF141(-0.138567) MYH14(-0.13839) ELF3(-0.13737) REPS2(-0.133254) RIPK4(-0.131591) B3GNT3(-0.127399) EPN3(-0.12421) ENDOD1(-0.120521) LMO7(-0.114589) GCA(-0.111936) PRKCD(-0.111182) ATP2C2(-0.108891) ATPIF1(-0.107222) CAB39(-0.102434) ZNF91(-0.102009) CCNG2(-0.0958891) BLNK(-0.0880771) RNF114(-0.0734585) EPS8L2(-0.0726703) ADK(-0.0726161) CDC42(-0.0700153) EPHA1(-0.0695068) BIK(-0.0691028) GPR87(-0.0690857) ARAP2(-0.0671973) GAB1(-0.0665472) SCAMP2(-0.0519429) FRMD4B(-0.0500079) ADAP1(-0.0393341) GUK1(-0.0385811) ACPP(-0.0360554) PRRG2(-0.0306496) ANXA9(-0.0296048) COBLL1(-0.0255682) PLEKHF2(-0.019346) SPINK2(-0.0175655) RAB38(-0.0170122) TACSTD2(-0.0134533) AKTIP(-0.0128727) ADAM28(-0.0126959) WLS(-0.00435433) KALRN(-0.00369276) PRSS22(-0.0019609) EPS8L1(0.00117374) SCEL(0.00223917) TMEM123(0.00519235) RAB11FIP4(0.00623825) IKZF2(0.0077807) RHOD(0.0150145) ZMYM6(0.0156848) SRPX2(0.0180967) TMEM40(0.0194553) WEE1(0.0206556) ZNF43(0.0222775) SRCAP(0.0230385) CST6(0.0278226) GNAS(0.0305738) PSD4(0.0316332) ZNF506(0.0325335) COMT(0.0330838) AIM1L(0.0339145) DST(0.0361778) KRT15(0.041308) HSD17B7(0.0417906) KLK6(0.0458475) CCDC57(0.0480582) HS3ST1(0.0485897) PITPNM3(0.0523276) FAM3C(0.0544878) CLDN9(0.0690333) SPTLC3(0.079728) CDH3(0.0843059) PIK3IP1(0.10288) C1orf21(0.11055) KIAA0040(0.110792) DAPP1(0.137726) SVIL(0.143952) PDE5A(0.155408) KCNMB4(0.158593) ALDH1A3(0.161857) PPL(0.179349) ARHGDIB(0.202228) PEG10(0.539743) GUCY1B3(0.607322)
COWLING_MYCN_TARGETS	COWLING_MYCN_TARGETS	msigdb_c2	0.10588760471598627	0.86168601429501	33	0.0	0.0	2.30557	UP	MYL9(0.77872) GREM1(0.769544) CNN1(0.666251) CRYAB(0.664098) TAGLN(0.63759) IGFBP5(0.544711) COX7A1(0.385907) FBLN5(0.346709) STMN2(0.343699) SPP1(0.343006) PBX3(0.33928) LBH(0.308974) HSPB2(0.272461) TUBB2A(0.271304) COPZ2(0.24881) CPEB1(0.231306) SLC16A2(0.20446) MFGE8(0.148998) RND2(0.133451) APH1B(0.0875178) PVALB(0.0579363) SYNC(0.0487247) TK2(0.0458405) MMP3(0.0453613) COL11A1(0.0297128) GRIA3(0.00477311) NLRX1(-0.00343369) MMP10(-0.00450845) MYL5(-0.0211066) SHOX2(-0.027035) B4GALT4(-0.0901414) DDAH2(-0.0948881) PRR5L(-0.416375)
