GS	GeneList	Qvalues	Direction
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	RAPGEF3 CDX2 AGPAT1 GNB5 ADCY1 ADCY2 ADCY3 RAPGEF4 ADCY5 ADCY6 ADCY7 CHRM3 ADCY8 ADCY9 GPR119 CTNNB1 ADRA2A DPP4 ADCY4 FASN PLCB1 SEC11A KCNG2 GATA4 GCG GCGR GIP GLP1R GNA11 GNA15 GNAI1 GNAI2 GNAO1 GNAQ GNAS GNB1 GNB2 GNB3 GNG3 GNG4 GNG5 GNG7 GNG10 GNG11 GNGT1 GNGT2 FFAR1 SPCS1 SLC25A4 SLC25A5 GRP SLC25A6 ACACA ACACB O3FAR1 INS ISL1 ITPR2 ITPR3 KCNB1 KCNC2 KCNJ11 KCNS3 LEP MARCKS ACLY PAX6 MLXIPL PCSK1 PRKAG2 GNG13 PFKFB1 PKLR PLCB2 PLCB3 GNG2 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D PRKAA2 PRKAB2 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA GNG12 RAP1A RAP1B GNB4 SPCS3 SLC2A1 SLC2A2 LOC653566 SNAP25 STK11 STX1A STXBP1 ABCC8 VAMP2 SYT5 TALDO1 MLX TKT LOC730413 LOC730418 CACNA1A CACNB2 CACNB3 IQGAP1 SEC11C GNG8 AKAP5 GNA14 SPCS2	0.005412803	UP
PID_HNF3B_PATHWAY	ALB PCK1 BDH1 HNF1A NF1 UCP2 NR3C1 F2 HNF4A G6PC ABCC8 SLC2A2 GCK HMGCS1 PKLR CEBPA ACADVL INS FOXA1 TTR ALDOB KCNJ11 TFRC AKT1 CEBPD CREB1 ALAS1 CEBPB HADH IGFBP1 CPT1B SP1 AFP FOXA3 HNF1B APOA1 CPT1C NKX2-1 FOXA2 CPT1A DLK1 ACADM FOXF1 TAT PDX1	0.005412803	DN
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	AGPAT1 AGPAT2 AGPAT6 GPAT2 ACSL1 ACSL3 ACSL4 FASN GPD1L LPIN1 ACSL6 LCLAT1 LPCAT4 GK GPD1 ACACA ACLY HSD17B12 ACSL5 ELOVL2 AGPAT5 AGPAT3 AGPAT4 GPAM ELOVL5 ELOVL1 LPIN3 SLC25A1 ELOVL4 ELOVL6 LPCAT1 ELOVL7 ELOVL3 DGAT2 AGPAT9 DGAT1 TECR LPIN2	0.005412803	UP
PID_AP1_PATHWAY	DMP1 IL4 MYC TP53 COL1A2 NPPA CCL2 FOSL1 GATA2 EGR1 CBFB NR3C1 IL5 CDKN1B HLA-A IL2 MAFG JUND PLAU TH MAF SP1 NTS GJA1 TCF7L2 MMP9 ETS1 MYB ELF1 NFATC3 CREB1 IL6 MT2A TIMP1 DUSP1 DMTF1 ATF2 FOSL2 TRIP6 ACTA1 COPS5 CDK1 CYR61 CRTC1 FABP4 BAG1 EDN1 IL10 BCL2L11 EP300 CSF2 CCND1 JUNB NFATC1 MMP1 FOSB TGFB1 IL8 ATF3 AGT HIF1A PTEN FOS CDKN2A ESR1 PENK CTNNB1 IFNG JUN NFATC2	0.005412803	UP
REACTOME_ZINC_TRANSPORTERS	SLC30A7 SLC30A8 SLC39A6 SLC39A1 SLC39A5 SLC39A3 SLC39A2 SLC39A4 SLC39A10 SLC39A8 SLC30A5 SLC30A1 SLC30A2 SLC30A3 SLC39A7	0.005412803	DN
REACTOME_METAL_ION_SLC_TRANSPORTERS	SLC31A1 CP SLC30A7 SLC30A8 SLC41A1 SLC39A6 SLC39A1 SLC39A5 SLC39A3 SLC39A2 SLC40A1 SLC39A4 SLC39A10 SLC39A8 SLC30A5 SLC11A1 SLC30A1 SLC30A2 SLC30A3 SLC39A7 SLC41A2 HEPH	0.005412803	DN
KEGG_THYROID_CANCER	PAX8 HRAS CCDC6 TFG NCOA4 KRAS CTNNB1 LEF1 CCND1 MAP2K2 TCF7L1 BRAF MAP2K1 RXRB RXRG RXRA PPARG TP53 RET NRAS TPR MAPK3 TCF7 NTRK1 MYC TPM3 CDH1 MAPK1 TCF7L2	0.005412803	DN
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	CTDSP2 PREB PDIA6 HYOU1 YIF1A PDIA5 KDELR3 KLHDC3 ADD1 TPP1 DCTN1 DDX11 EXTL3 SEC31A SERP1 GSK3A HDGF CXXC1 ACADVL LMNA DNAJB9 DDX12P SULT1A4 DNAJB11 FKBP14 WIPI1 PPP2R5B ARFGAP1 C19orf10 DNAJC3 SRPRB TSPYL2 SHC1 SRPR SSR1 SULT1A3 TLN1 WFS1 XBP1 ZBTB17 SYVN1 ATP6V0D1 GOSR2 EDEM1 TATDN2 CUL7	0.008209418	UP
REACTOME_REGULATION_OF_INSULIN_SECRETION	RAPGEF3 CDX2 GNB5 RAPGEF4 ADCY5 ADCY6 CHRM3 ADCY8 GPR119 CTNNB1 ADRA2A DPP4 PLCB1 SEC11A KCNG2 GATA4 GCG GIP GLP1R GNA11 GNA15 GNAI1 GNAI2 GNAO1 GNAQ GNAS GNB1 GNB2 GNB3 GNG3 GNG4 GNG5 GNG7 GNG10 GNG11 GNGT1 GNGT2 FFAR1 SPCS1 SLC25A4 SLC25A5 GRP SLC25A6 O3FAR1 INS ISL1 ITPR2 ITPR3 KCNB1 KCNC2 KCNJ11 KCNS3 LEP MARCKS PAX6 PCSK1 GNG13 PLCB2 PLCB3 GNG2 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA GNG12 RAP1A RAP1B GNB4 SPCS3 SLC2A1 SLC2A2 LOC653566 SNAP25 STX1A STXBP1 ABCC8 VAMP2 SYT5 LOC730413 LOC730418 CACNA1A CACNB2 CACNB3 IQGAP1 SEC11C GNG8 AKAP5 GNA14 SPCS2	0.008209418	DN
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	MNX1 NEUROG3 GCK HHEX HES1 MAFA PAX6 SLC2A2 BHLHA15 HNF1B HNF4G NKX6-1 HNF1A FOXA3 HNF4A NKX2-2 ONECUT1 NEUROD1 INS FOXA2 PAX4 PDX1 IAPP NR5A2 PKLR	0.008209418	DN
