Geneset	Gene	qvalue
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	SMAGP CDH15 MPZL2 PCDHB12 PCDH8 PCDH11Y PCDHB3 FAT2 PCDHB1 DSCAML1 CDHR5 CEACAM1 PCDHA1 PCDHGC5 CD226 PVRL2 DCHS2 DSG2 PTPRM PCDHA4 PCDHGA7 DCHS1 CDH3 PVRL4 CDH9 PCDHB11 PCDHGA5 CLSTN3 CADM1 PCDHB18 DSCAM CDH8 PCDHGB6 CDH11 PCDHB16 TRO PCDHA11 CDH13 PCDHGA6 AMIGO1 PCDHGB1 CDHR3 PCDH10 PCDHA13 PCDHB6 PCDHA12 SDK1 PCDHB15 CDH24 CDH22 PCDHB2 CELSR1 IGSF9 RET CRTAM NCR3 PCDHGA3 PCDHB5 PCDHGA11 DSG1 PKD1 CD84 PCDHGA4 PCDHGC4 PCDH15 PCDH12 CDH12 IGSF9B PCDH17 PCDH9 CDH4 PCDH7 PCDHA10 PCDHGC3 PCDH20 DSC1 PCDHGB5 PCDHA9 PCDHB10 AMIGO2 CADM4 CDH23 TIGIT PCDHGB2 PCDHB13 CDH16 CDHR2 PVRL3 CDH2 PCDHGA2 PCDHB4 CDH7 PCDHB9 CDHR4 CDH5 PCDHA3 CDHR1 CELSR2 PCDHGA10 PCDHGA1 CD200 PCDHB8 PCDHA6 ESAM CDH20 PCDH18 NPTN CDH26 PIK3CB CDH6 DSC3 CDH19 PCDH11X FAT1 PCDHGB7 PCDHGA9 SDK2 PCDHAC1 PCDHA8 ITGB1 ROBO1 PCDHGB4 CELSR3 PCDHB14 DSC2 PCDHA5 PVRL1 PCDHGA8 PTPRT FAT3 CADM2 PCDH1 ROBO2 CDH17 CDH10 PCDHGA12 CDH1 PCDHGB3 FAT4 DSG4 KIRREL3 PCDHA7 CLSTN1 DSG3 PCDHAC2 PCDHA2 ODZ3 PCDHB7 CLSTN2 CADM3 PVR CDH18 PCDH19	4.67430042866189e-18
GO_ANCHORED_COMPONENT_OF_MEMBRANE	NCAM1 HFE2 SPRN LY6G6C GPIHBP1 DPEP1 C11orf34 CD48 GP2 GGT3P GGTA1P FCGR3B CEACAM7 PSCA CFC1 NTNG1 BST2 CNTN3 ALPP GFRA2 PLAUR CD58 XPNPEP2 RTN4RL1 CDH13 CEACAM5 GPC2 GAD2 TREH CD55 HYAL2 PKHD1 FOLR1 SPACA4 MDGA1 GGT7 PRSS42 DPEP3 CD14 SPAM1 CD2 ULBP1 LYPD1 GGT5 LYPD3 CP EFNA3 EFNA4 THY1 ART1 LY6D FOLR2 MMP17 ALPL TNFRSF10C TFPI FOLR4 UMOD CA4 TECTB CNTN1 VNN2 GGT1 TEX101 MFI2 NT5E ITLN1 GPC3 DPEP2 CNTN2 ULBP3 RAET1G RTN4RL2 GGT6 LSAMP ART4 PRND GP1BA ULBP2 NRN1 EFNA5 LYNX1 VNN1 PRSS21 CEACAM6 GAS1 CD24 LPL GGTLC3 LYPD2 BCAN RTN4R EFNA2 CNTN5 MDGA2 CD59 EFNA1 LY6H CD109 ALPPL2 LYPD4 LY6G6D CNTN4 ENPP6 GPC1 NTNG2 GML NTM CD52 CD177 CEACAM8 LOC646627 GGTLC2 GPC6 LYPD6B PRNP GGT2 LY6K GGTLC1 LY6E OPCML CD160 TDGF1 LYPD5 CNTFR RHBG RAET1L VNN3 SEMA7A GPC4 BST1 TECTA GFRA1 MSLN OMG NRN1L CNTN6 MMP25 CPM SVIP GFRA3 RGMB RECK ART3 PRSS41 NEGR1 ACHE GFRA4 ALPI GPC5 RGMA OTOA	9.06177505426471e-14
GO_CELL_CHEMOTAXIS	SAA1 XCL2 PRKCD CCR2 CHGA PTPRO PIP5K1A HMGB2 ARHGEF16 BCAR1 CKLF XCL1 CXCL13 AGTR1 CXCL14 CCL3 LEF1 ENG PDGFRA FLT1 CCL26 PDE4D NCKAP1L EPHA2 LYST ITGB2 CXCL6 NRP1 CCR6 ARHGEF5 ADAM8 HOXB9 CCR7 IL8 CCL14 CXCL2 CCL28 SAA2 PIK3CG IL10 CXCL16 PLXNB3 EDN1 CXCL11 SAA4 EDNRB CXCR3 S100A9 CCL15 BIN2 CXCL5 PIP5K1C NUP85 EMR2 SBDS EGR3 DIAGRAM_geneset_input2.txtCCL18 HRH1 CXCL9 VAV1 VCAM1 TNFSF11 IL17RA RHOG CCL11 AMICA1 ANO6 IL16 IL6 HMGB1 CCL7 CCL24 CCL16 IL1B CCL17 ANXA1 IFNG CALCA PDGFB CCL20 CXADR RAC1 TRPM4 TNFRSF11A VEGFA CCL5 CCL21 CCL3L3 LBP SFTPD CCL3L1 GAS6 PARVA IL17RC TREM1 TGFB2 CCL25 S100A12 NOV FCER1G GBF1 CCL27 PDE4B S100A8 PLA2G1B C5 PDGFRB PRKCQ EDN2 CXCL3 CORO1A PPBP CCL4L2 CCR1 FOLR2 CXCR4 CCL8 CXCR1 PIK3CD EDN3 CX3CL1 CCL22 CCL4 RAB13 CXCL1 AZU1 C5AR1 KIT SYK CCL13 IL6R PREX1 SEMA5A CXCL12 NR4A1 ITGA1 DOCK4 CCL23 CCL19 ITGA9 CXCL10 HBEGF CCL1 HGF CXCR2 LGALS3 RPS19 FFAR2 EPHB1 ELMO2 PF4V1 CCR5 PLEKHG5 SCG2 CX3CR1 PF4 LPAR1 CSF3R ARRB2 CCL2 CORO1B VAV3	8.92306051535071e-12
GO_CELL_SUBSTRATE_ADHESION	PPARD AKIP1 AXL LYPD3 SRCIN1 ID1 TIAM1 ITGB3 FGG LAMA5 DEFB118 DLC1 MUC4 CORO1A SRF THY1 RAB1A CNTN2 PARVA GAS6 THBS3 ILK ADAM15 MADCAM1 FERMT2 SORBS1 ITGA2 KIF14 TYRO3 FER PTPRK ITGB4 LAMB1 ACTN3 CUZD1 PKD1 MYO1G RAC1 CCL21 TSC1 ADAMTS12 EDA FGFRL1 JAM3 SIGLEC1 ABL1 TNXB MKLN1 NID2 BCL2L11 ITGA5 TEK VAMP3 CD96 PPFIA2 COL3A1 ANGPTL3 EPHB3 FGB FGA EPHB1 STRCP1 ITGAL MERTK ITGB1BP1 ITGA1 BCAM MSLNL ITGB7 TESK2 FZD4 PARVG ITGB6 HOXD3 VTN ITGA11 ITGA3 JUB ITGB8 CD44 ACTN2 LAMC1 ITGA2B FERMT3 LYPD5 ADAM9 ITGB1 CTTN MARCKS TMEM8B RADIL COL17A1 CD34 ITGAV ITGB5 SNED1 ITGB2 ADAMTS13 DAG1 VWA2 SRGAP2 PEAK1 BVES RCC2 CTNNB1 ECM2 EPB41L5 MSLN VCL ANGPT1 SRC NPNT ITGA10 TECTA TTYH1 STRC DDR1 OTOA ARHGAP6 FBLN5 PTK2B ITGA6 CTGF TRPM7 PIP5K1A CD63 EPDR1 FZD7 ARHGEF7 HPSE NID1 PDPK1 SMAD6 TNFRSF12A TAOK2 FXC1 VWF ACTN1 WHAMM PPFIA1 ANTXR1 ITGA4 ITGA8 PRKX CDK5 COL13A1 VCAM1 SGCE EFNA1 TRIP6 RHOD EMP2 COL5A3 ZYX FN1 LYVE1 FREM1 EPHA1 TNN MICALL2 PXN ITGA7 SORBS3 BCL2	1.20953278916784e-11
GO_REGULATION_OF_CHEMOTAXIS	CCR2 MPP1 F2RL1 PLXNA3 ROBO2 SEMA3D ARTN PTK2B SEMA4C S1PR1 GPR77 FGF1 ADAM10 PTPRO TNFSF18 SEMA4B PDGFD TIRAP CXCL14 CCL3 SEMA5B XCL1 CAMK1D CXCL13 AIF1 THBS1 WNT3 PDGFRA CXCL6 NRP1 STAP1 SEMA6B CCR6 GPR124 FIGF ZNF580 SEMA6C NCKAP1L S100A7 CCR7 SEMA7A FGF10 SEMA4F THBS4 ELANE USP14 SERPINE1 ROBO1 CALR SEMA4A ADAM17 IL8 TMEM102 STX3 CSF1 SMAD3 GREM1 AKT2 CXCL2 PADI2 PTPN2 MEGF8 SEMA3B F7 CD74 SWAP70 FGFR1 NBL1 CXCL11 SEMA3F C1QBP CXCR3 IL12A ANGPT2 ST6GAL1 CREB3 FN1 HSPB1 TGFB1 CXCL5 CXCL9 FGF4 RAC2 NTRK3 SEMA6A VEGFB BMPR2 RARRES2 KLRK1 ANO6 IL16 PPM1F WNT3A FGF2 PRKD1 IL1B IL6 HMGB1 CCL7 DAPK2 TNFSF14 SEMA3E PLXNC1 EDNRA RAC1 VEGFA CCL5 CCL21 IL4 PDGFB TBR1 SLIT2 PLXND1 LBP GAS6 SEMA6D NOV LGALS9 ITGA2 GPSM3 TRPV4 EDN2 CXCL3 KDR NOTCH1 TIAM1 SEMA3A VEGFC C5 PDGFRB CCR1 PPBP FGF18 CXCR4 F3 WNT5A KLRC4-KLRK1 EDN3 CX3CL1 EFNB2 SEMA3C PLA2G7 IL23A PLXNA2 CXCL1 CCL4 PLXNA1 AZU1 C5AR1 FGF16 C3AR1 CYP19A1 IL6R MET LYN FEZF2 CXCL12 DSCAM CMKLR1 SEMA3G SEMA5A CCL19 CXCL10 CDH13 S100A14 NTF3 PRKD2 SEMA4D HRG PF4V1 PLXNA4 SCG2 PF4 LPAR1 JAM3 SEMA4G CORO1B STX4 MMP28 CCL2	9.85905525864469e-11
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	CHRM5 CACNB4 SCN2B CLCN1 KCNIP2 SCN5A CACNG2 KCNMB3 TNNI3K SLC9A1 YWHAE CACNA1D KCNA1 ATP1B1 GJC1 KCNJ12 KCNA2 CACNB2 FKBP1B JUP NFASC SCN9A SCN8A PAFAH1B1 KCND1 AKAP9 GJA1 CACNA2D3 KCNMB2 CACNA1A GPR88 CACNB1 SCN10A GJA5 DRD5 ATP1A3 CACNA1I KCND2 CHRNA1 KCNK1 KCNH2 RNF207 NUP155 CNTNAP1 P2RX4 GRIK2 CACNG3 CACNA1C KCNE1 CACNG4 JAM3 CTNNA3 SCN4B DSG2 CAV1 DMRT3 SCN2A SCN3A ATP1B2 CNTNAP2 SLC8A1 SOD1 SCN11A KCNK6 SPTBN4 P2RX3 KCNMB4 OTOA RYR2 KCNJ2 MEF2A CACNA2D4 S1PR1 PKP2 TRPM4 KCNE2 CXADR PLN CAMK2D CACNA1F SCN1A KCNIP4 CASQ2 HCN4 CATSPER4 CACNG8 CACNG1 KCNQ1 ATP1A1 NRCAM KCNJ4 SCN1B SCN3B GRM7 CACNG6 KCNA5 CACNG7 KCNK15 SCN4A CACNA2D1 SCN7A MYH14 CACNA1S KCNJ14 CACNG5 KCNIP1 KCNE1L GPER CLDN19 ANK3 DRD1 P2RX1 CACNA1G KCNK3 CACNB3 DSC2 KCNIP3 ANK2 PRKACA CACNA2D2 KCND3 ATP1A2 DSP	1.37140248725612e-10
GO_ENDOTHELIAL_CELL_MIGRATION	GREM1 HMGB1 DPP4 EFNB2 PRSS3 ID1 CORO1B EPHB4 PTEN TDGF1 FGF2 LOXL2 PLEKHG5 ITGB1 ROBO1 SCG2 TGFBR1 PRKX RHOA SRF AMOT EGR3 NOS3 GPR124 KDR ITGB2 NRP1 FAP PTP4A3 NR4A1 S100A2 CDH13 NOV GIPC1 CXCL13 MYH9 SOX18 PLXND1 APOA1 SLIT2 PAXIP1 EMP2 STAT1 GPX1 PTK2 TRY6 GPLD1 VEGFA STARD13 PIK3CA PTK2B RAB13 SCARB1 CALCA CYP1B1 S100P TNFSF12	2.91675994770055e-09
GO_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	C3AR1 KIT HIF1A C5AR1 ECM1 GATA6 C19orf10 MTDH CHRNA7 SEMA5A RAPGEF3 GDF2 PRKCA HGF CCR3 NOS3 IL1A PRKD2 ANGPTL4 RUNX1 ANGPTL3 SRPX2 HYAL1 ETS1 C6 HIF1AN TBXA2R CX3CR1 ITGA5 TEK UTS2R PDGFB PTGS2 ACVRL1 UTS2 AQP1 CCL5 VEGFA NTRK1 HIPK2 ANXA3 TMIGD2 SFRP2 GATA4 C3 AGGF1 RLN2 ADM2 RAP1A DDAH1 VEGFC C5 EGR1 KDR SERPINB7 ISL1 GPER VASH2 WNT5A F3 HDAC7 PLCG1 PDCL3 RRAS PDCD6 CCBE1 CX3CL1 BRCA1 TNFSF12 CYP1B1 EPHA1 RAMP2 ALOX12 ZNF304 ANGPT2 CXCR3 ERAP1 FOXC2 PGF HSPB1 TWIST1 CMA1 SASH1 HIPK1 PTGIS PIK3R6 TGFBR2 VEGFB NR2E1 GATA2 PRKCB FGF2 SIRT1 CCL11 LRG1 ANGPT4 ADM HDAC9 HMGB1 IL1B RAPGEF2 PRKD1 CCL24 PTK2B ASB4 CTSH BTG1 CHI3L1 CCR2 JAK1 RHOB SPHK1 ZC3H12A FGF1 PDGFD FLT1 ENG THBS1 CELA1 CYSLTR2 PPP1R16B ITGB2 TMEM100 DLL1 SERPINE1 IL8 MYOCD NODAL GREM1 CIB1 CD34 CTH HMOX1	4.43442362845216e-09
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	EDNRB SEMA3F MYH9 EFNB1 EMP2 ARID5B PAXIP1 S100A2 TWIST1 LRP5 ZEB2 TNFSF12 SCARB1 CYP1B1 TNS1 PITX2 TRY6 PTK2 SEMA3B NANOS1 MEGF8 KRT16 FGF2 TGFBR1 ANLN SGPL1 HMGB1 SMO ARSB PKN2 CAP1 EGR3 GDNF ITGA4 PHOX2B PTPN11 PRKX PKN3 SEMA6A SEMA5B GBX2 SOX18 CXCL13 SEMA4B EPB41L5 KRT2 LEF1 PTP4A3 GIPC1 SYNE2 PTK2B SOX17 PIK3CA ZFAND5 SEMA3D PIP5K1A GPX1 SEMA4C SEMA4A LOXL2 TDGF1 LTB4R2 RIC8A ITGB1 ROBO1 NODAL TMEM201 DPP4 GREM1 MIXL1 PTEN SEMA6C FAP NRP1 ITGB2 GPR124 SEMA6B SRGAP2 SEMA7A FGF10 SEMA4F MESP1 SEMA3G APOA1 PML SEMA5A PAFAH1B1 NR4A1 ITGB7 CDH13 PHACTR4 RAB13 WNT11 KIT HIF1A CENPV PKN1 SOX10 SHH FOLR1 PLEKHG5 SEMA4G SCG2 CORO1B NOS3 T SEMA4D SOX8 WDPCP FAT2 FGF8 AMOT HTR2B OVOL2 PLXND1 ILK STAT1 LOC100506013 SLIT2 HAND2 NOV SEMA6D S100P SEMA3E CALCA KITLG TBX1 AMOTL1 STARD13 VEGFA GPLD1 WNT5A PPARD CORO1C WASF2 EFNB2 SEMA3C CER1 EPHB4 EDN3 ID1 ERBB4 NRTN PRSS3 RET SEMA3A FGF19 LAMA5 ISL1 KDR ACVR1 FERMT1 SRF RHOA	5.26046113083628e-09
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	NOV ITGA2 LGALS9 MADCAM1 GPSM3 CCL25 TRPV4 SLIT2 LBP GAS6 HOXA7 VEGFA RAC1 CCL21 CCL5 ABR CD300A CCL20 IL4 TNFSF14 BCR KITLG EDNRA ICAM1 ANXA1 EDN3 CX3CL1 CCL8 WNT5A OLFM4 KLRC4-KLRK1 CCR1 BMP5 PPBP ADORA1 CXCL3 PAWR EDN2 VEGFC C5 IL33 APOD CCL19 CXCL10 S100A14 CXCL12 GCET2 CMKLR1 PTGER4 IL6R LYN IL23A PLA2G7 CXCL1 ECM1 WASL CCL4 C3AR1 TNF CYP19A1 C5AR1 MSN MMP28 CCL2 PF4 JAM3 FADD P2RY12 PF4V1 LGALS3 AIF1 RIPK3 THBS1 TIRAP CXCL14 PDGFD CCL3 CAMK1D XCL1 CXCL13 GPR77 ADAM10 TNFSF18 F2RL1 CCR2 MPP1 TNFRSF14 PTK2B HMOX1 C1orf150 TACR1 CCL28 CXCL2 GREM1 ADA CSF1 CALR ADAM17 IL8 TMEM102 ITGA2B RABGEF1 CCR7 S100A7 THBS4 ADAM8 PTGER3 SERPINE1 PTAFR CXCL6 STAP1 CCR6 FIGF ZNF580 NCKAP1L CREB3 CXCL5 SELP MIA3 NBL1 C1QBP CXCR3 IL12A CXCL11 PYCARD SWAP70 CD74 F7 PADI2 PYDC1 CCL24 PLVAP IL1B STK10 CCL7 HMGB1 IL6 DAPK2 ANO6 TNFRSF18 ZP3 PLCB1 VEGFB RARRES2 ITGA4 KLRK1 CXCL9 BDKRB1 RAC2	5.74233757039823e-09
