GS	GeneList	Qvalues	Direction
AMIT_SERUM_RESPONSE_40_MCF10A	FOS FOSB EGR1 NR4A2 ATF3 NR4A1 RGS2 DUSP1 DCN JUN SLC16A4 ZFP36 CXCL2 CLIC4 FPR1 TP63 GM2A MCL1 GLUL KLF6 WEE1 CXCL3 TCTN2 PVR IL1A LGMN CITED2 THBS1 TOMM22 ADM NAMPT	0	UP
ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE	ASPN GREM1 MFAP5 THBS2 TIMP3 SULF1 EDNRA ACTA2 SPOCK1 TMEM158 FN1 AEBP1 COL5A2 GLT8D2 DCN RAB31 PRRX1 FBN1 LGALS1 COL6A3 CRISPLD2 OLFML2B SERPINF1 COL1A1 PCOLCE NUAK1 COPZ2 COL6A2 THY1 COL1A2 SPARC NTM C1QTNF3 CTSK LUM PDGFRB BGN FAP SFRP4 CDH11 ITGBL1 COL5A1 TNFAIP6 MMP2 INHBA COL3A1 LRRC15 MXRA5 LOXL2 PLAU SNAI2 COMP COL10A1 RCN3 COL11A1 VCAN NOX4 MMP11 ADAM12 NID2 EPYC LOX POSTN	0	UP
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	FABP4 ADIPOQ TUBB6 SFRP1 DPT CAV1 TNXB MFAP4 ELN OMD SPARCL1 EMCN PECAM1 IGF1 VWF RBP4 TEK ADCY2 PIK3CD NGFR ERG CD34 TNFRSF1B TGFBR2 ABCA6 ADAM11 POU2F2 TXNIP MMP3 MARCH7 RPL31 CCDC82 FOXN3 PDK4 RPL34 TF CIDEC ALDH1A1 F2R ALDH1L1 GDPD2	0	UP
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	MYL9 KCNMB1 TPM2 ACTG2 TAGLN AOC3 FERMT2 TIMP3 TGFB1I1 DDR2 MYH10 ZCCHC24 PTRF DLC1 EPHA3 EDNRA CAV1 ACTA2 THBS4 FLNA NAV3 SPOCK1 FHL1 KANK2 CALD1 MXRA7 FLNC SPEG OBSL1 FSTL1 SMTN CADM1 PTPRZ1 LIMS2 MYLK RGS5 SLIT3 COPZ2 CD81 MXRA8 NPR3 SNRPN ACTN1 LAMA2 TUBG2 AQP1 EXTL2 RGS4 BGN TTC28 FAP CX3CR1 PDE5A PARVA ZNF385D NPR2 SAV1 CTNND2 GPC1 HSPG2 CNN2 ACVR1 NME7 PTPN14 C9orf3 CNIH3 SLC4A3 RABGAP1 MPRIP GSTA1 SH3PXD2A AHNAK PLSCR3 DAAM1 ANO1 SNAI2 MDFI STARD13 CNPY4 NCOA1 APBA1 ERBB4 CCDC15 ADAMTS12 LIN28A ADAM12 SRPX2 COPS8 MTSS1 EFR3B TTC3 CEP41 MAPK7 LGALSL COL8A1 MYH9 KIDINS220 RTN4 C11orf80 FKBP9 ZBTB43 ITGB5 PICALM EFNA3 PTPN21 MBOAT2 RUNX1 ACSL3 KLHDC10 TMEM134 SPRED2 FBXW2 TLN2 RCAN1 VSNL1 NDUFV1 ENDOD1 CAPN2 CHMP3 PDGFD EDN2 AGPAT2 DDAH1 RIT1 SEMA5A SORT1 HIST1H2AC CAPN5 ENPP1 PERP HIST1H2AE HIST1H4H C1orf116	0	UP
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	FOSB OGN FABP4 C7 ADH1B APOD DPT TPPP3 CFD ITIH5 C3 OMD SPARCL1 MYOC IGF1 CHL1 WISP2 PDGFRL PPL CPVL SOCS3 NAALAD2 SERPINA5 NTRK2 WNT11 APOE CD14 PTGER4 CXCL14 TMEM176B	0	UP
BROWNE_HCMV_INFECTION_2HR_UP	FOS EGR1 CHRDL1 ATP1A2 NR4A2 ATF3 ADH1B NR4A1 ECM2 RGS2 COL21A1 CFD NR4A3 MFAP4 PTGDS SNED1 SLC29A1 ICAM1 RARRES2 N4BP2L1 APOE NFKBIA MAP3K8 FYB DAZL ELANE SRCAP CXCL3 ADCY1 KIAA0368 SFPQ DHRS3 IRF1 ERP44 GCH1 ADH1A VWA5A ADH1C	0	UP
BURTON_ADIPOGENESIS_PEAK_AT_2HR	CYR61 FOS FOSB PTGS2 CTGF NR4A2 NR4A1 RHOB RGS2 DUSP1 PPP1R15A JUNB ZFP36 BTG2 CDR2L IER3 IL6 DNAJB4 CEBPD CXCL1 TNFRSF1B TNFAIP6 MYC SERPINE1 PIM1 PHLDA1 EMD BAG3 FOXC2 WEE1 MAP2K3 CDR2 LONP1 ID2 ETS2 GADD45G VEGFA THBS1 DNAJB6 ID1 DNAJB1 ADM ID3 SEMA3C KLF4 CAPN1 SLC20A1 HK2	0	UP
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	ADAMTS1 EGR1 MYL9 ASPN RGS1 SRPX VNN1 GEM C7 THBS2 AMIGO2 SULF1 EGR2 CCL21 GPR183 LOXL1 CXCL12 EFEMP1 PMP22 CCL19 GPNMB ISLR MOXD1 PLTP AEBP1 PTGDS SEPT6 RCAN2 MMP9 RFTN1 SERPINB9 COL6A3 COL1A1 ACSL4 BASP1 CP EVI2A COL1A2 CHST11 MYOM1 TPST1 VNN2 KCTD12 TMEM45A MAD1L1 POU2AF1 RASGRP1 TIMP1 AIM2 CD52 TNFAIP8 LUM CYTIP BGN CD2 IL7R SERPINE2 COLEC11 SLC17A9 SOCS3 HOMER1 COL5A1 MMD CYFIP2 DUSP5 ATP2B2 CCL20 SERPINE1 KLRB1 DCPS COL3A1 SPHK1 NAV2 ZNF83 MXRA5 TIMP2 INHBE ACP5 GLDC STAT4 GLS2 C9 HABP2 FURIN MCC SLC15A1 GPR88 VCAN SLC7A2 HAL CRP MAP3K5 UGCG RAB27B PRG4 NCALD S100P TNFSF4 ETS2 CYBA SLC2A9 PELI1 RAB27A EPHA1 SEL1L3 SEMA6A CAPG MGLL ASRGL1 MUC13 LGALS3 BACE2 GCH1 PLBD1 CD24 SLPI FGFR2 LSR F3 BMP2 GOT1 SLC12A2 WWC1 LGALS4 MYO1E FBP1 LXN GALNT7 CDA HPGD CDH1 GATA6 XK CNGA1 HSD17B2	0	UP
COLDREN_GEFITINIB_RESISTANCE_DN	EHF OCLN ITGB6 GRAMD1C FOXA1 C1orf116 GALNT3 SMAGP MYO1D RAB25 TMEM30B MFSD6 SLC35A3 S100A14 ERBB3 AP1M2 EXPH5 PRR15L AGR2 PTK6 SLC1A1 CYP2J2 MPZL2 MAPK13 CLDN7 FGFBP1 VAV3 TMPRSS4 TMC5 OVOL2 ELMO3 SMPDL3B CDS1 TJP2 OVOL1 RBM47 STAP2 CDH1 TSPAN1 IRF6 MYO6 SERPINB5 TBC1D8B GRHL2 CLDN4 KRT19 FXYD3 TJP3 STK39 PRSS8 SPINT1 TTC22 LAD1 SH3YL1 HMGCL LAMC2 GCNT2 ENPP4 EPPK1 LGALS9 AIM1 ZNF468 PRRG4 VAMP8 ST14 LSR LIMA1 ESRP2 BSPRY CNKSR1 MST1R DDR1 RNF141 MYH14 ELF3 REPS2 RIPK4 B3GNT3 EPN3 ENDOD1 LMO7 GCA PRKCD ATP2C2 ATPIF1 CAB39 ZNF91 CCNG2 BLNK RNF114 EPS8L2 ADK CDC42 EPHA1 BIK GPR87 ARAP2 GAB1 SCAMP2 FRMD4B ADAP1 GUK1 ACPP PRRG2 ANXA9 COBLL1 PLEKHF2 SPINK2 RAB38 TACSTD2 AKTIP ADAM28 WLS KALRN PRSS22 EPS8L1 SCEL TMEM123 RAB11FIP4 IKZF2 RHOD ZMYM6 SRPX2 TMEM40 WEE1 ZNF43 SRCAP CST6 GNAS PSD4 ZNF506 COMT AIM1L DST KRT15 HSD17B7 KLK6 CCDC57 HS3ST1 PITPNM3 FAM3C CLDN9 SPTLC3 CDH3 PIK3IP1 C1orf21 KIAA0040 DAPP1 SVIL PDE5A KCNMB4 ALDH1A3 PPL ARHGDIB PEG10 GUCY1B3	0	DN
COWLING_MYCN_TARGETS	MYL9 GREM1 CNN1 CRYAB TAGLN IGFBP5 COX7A1 FBLN5 STMN2 SPP1 PBX3 LBH HSPB2 TUBB2A COPZ2 CPEB1 SLC16A2 MFGE8 RND2 APH1B PVALB SYNC TK2 MMP3 COL11A1 GRIA3 NLRX1 MMP10 MYL5 SHOX2 B4GALT4 DDAH2 PRR5L	0	UP
